N,m,time
10,100,3.368222167
10,100,1.048384042
10,100,0.436598917
10,100,0.231371375
10,100,0.262753292
10,100,0.329933792
10,100,0.198749292
10,100,0.185498459
10,100,0.13002
10,100,0.162778292
10,200,97.396966584
10,200,35.851499291
10,200,15.822356834
10,200,20.69396775
10,200,70.471012541
10,200,1.146305583
10,200,0.501853458
10,200,26.108706292
10,200,70.119479875
10,200,96.695080208
15,100,0.13695025
15,100,0.097056292
15,100,0.094081
15,100,0.098288125
15,100,0.084396959
15,100,0.079511458
15,100,0.125345334
15,100,0.07307575
15,100,0.085913708
15,100,0.103382708
15,200,0.421449083
15,200,0.3941345
15,200,0.357155083
15,200,0.372778583
15,200,0.394360125
15,200,0.291955333
15,200,0.360555292
15,200,0.327601209
15,200,0.396116083
15,200,0.43336825
20,100,0.277387834
20,100,0.084415167
20,100,0.103770625
20,100,0.167750291
20,100,0.146257709
20,100,0.102386542
20,100,0.166210875
20,100,0.084711167
20,100,0.093509417
20,100,0.133551
20,200,0.372366958
20,200,0.42190075
20,200,0.518283709
20,200,0.539093333
20,200,0.40632125
20,200,0.531762458
20,200,0.623772083
20,200,0.399458667
20,200,0.500133667
20,200,0.631884208
